{
# 公众号配置
# 公众号appId
"app_id": "wx812020b1cd34628b",
# 公众号appSecret
"app_secret": "e45586a391162484abcb81c660f4f673",
# 模板消息id
"template_id": "GfBWr2zOiQXzuJLL_Ic6b2M9URoUEVSqaGKfnqFd1RI",
# 接收公众号消息的微信号，如果有多个，需要在[]里用英文逗号间隔，例如["wx1", "wx2"]
"user": ["ocXjm5kp5Fco0KNAVOH2SzJuN9H4","ocXjm5mgSd4T5tQHO7HahsnA7kks"],

# 信息配置
# 和风天气apikey
"weather_key": "a491c8d027e84b5a9ba2a233e67cd57a",
# 天行数据apikey
"tian_api": "fe2aa81eadf120c91abec864fb9bc5ea",
# 所在地区，可为省，城市，区，县，同时支持国外城市，例如伦敦(国外城市可能获取不到pm2.5，空气质量，今日建议等数据)
"region": "泰山区",
# 生日
"birthday1": {"name": "壮壮夫人", "birthday": "2003-04-04"},
# 在一起的日子，格式同上
"love_date": "2022-10-01",
# 金句中文，如果为空，默认会读取金山的每日金句
"note_ch": "",
# 金句英文
"note_en": ""
}
